date,annualRepaymentOfDebt,quarterlyBeginningCashPosition,quarterlyCapitalStock,annualEbitda,trailingRepaymentOfDebt,annualOtherNonCurrentLiabilities,annualChangeInCashSupplementalAsReported,quarterlyPretaxIncome,quarterlyNetOtherInvestingChanges,trailingGrossProfit,annualCashCashEquivalentsAndMarketableSecurities,quarterlyPurchaseOfBusiness,trailingNetIncomeCommonStockholders,trailingInterestExpense,quarterlyStockholdersEquity,annualOtherCurrentLiabilities,annualDilutedAverageShares,annualBeginningCashPosition,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,trailingCapitalExpenditure,annualDilutedEPS,quarterlyOtherCurrentAssets,trailingOtherIncomeExpense,quarterlyChangesInAccountReceivables,annualOtherIncomeExpense,annualSellingGeneralAndAdministration,trailingChangeInCashSupplementalAsReported,quarterlyOtherIntangibleAssets,annualTotalNonCurrentAssets,annualBasicAverageShares,quarterlyCurrentDebt,annualGrossPPE,quarterlyDilutedEPS,trailingCashFlowFromContinuingFinancingActivities,quarterlySaleOfInvestment,quarterlyInterestExpense,trailingNetIncomeContinuousOperations,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,annualNetIncomeContinuousOperations,quarterlyCommonStockIssuance,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingOtherNonCashItems,trailingStockBasedCompensation,quarterlyGrossPPE,annualChangeInInventory,annualCapitalExpenditure,trailingSellingGeneralAndAdministration,annualOperatingExpense,annualNonCurrentDeferredTaxesLiabilities,trailingDeferredIncomeTax,annualCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyTotalRevenue,trailingNetOtherFinancingCharges,annualInvestingCashFlow,quarterlyOperatingCashFlow,annualChangesInAccountReceivables,quarterlyChangeInCashSupplementalAsReported,trailingCostOfRevenue,quarterlyOtherCurrentLiabilities,annualInterestExpense,trailingBeginningCashPosition,quarterlyOtherNonCashItems,trailingChangesInAccountReceivables,trailingCashDividendsPaid,annualPurchaseOfInvestment,annualTotalRevenue,quarterlyBasicAverageShares,annualCapitalStock,trailingOperatingExpense,quarterlyTaxProvision,quarterlyNetPPE,quarterlyRepurchaseOfCapitalStock,annualGrossProfit,annualNetOtherFinancingCharges,quarterlyStockBasedCompensation,annualStockBasedCompensation,annualGoodwill,annualAccumulatedDepreciation,annualInventory,annualDeferredIncomeTax,quarterlyEbitda,quarterlyFreeCashFlow,trailingNetOtherInvestingChanges,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,trailingChangeInWorkingCapital,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicEPS,quarterlyRetainedEarnings,annualRetainedEarnings,trailingFreeCashFlow,trailingNetIncome,annualGainsLossesNotAffectingRetainedEarnings,annualTotalAssets,quarterlyCurrentAssets,quarterlyCurrentLiabilities,trailingPretaxIncome,annualTotalLiabilitiesNetMinorityInterest,annualNetOtherInvestingChanges,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,annualCashDividendsPaid,quarterlyOtherNonCurrentLiabilities,annualOtherCurrentAssets,annualEndCashPosition,annualPretaxIncome,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,quarterlyTotalAssets,annualCostOfRevenue,trailingTotalRevenue,annualNetIncome,annualLongTermDebt,annualOperatingIncome,quarterlyTotalNonCurrentAssets,annualFreeCashFlow,trailingEndCashPosition,trailingInvestingCashFlow,annualAccountsPayable,quarterlyDepreciationAndAmortization,trailingTaxProvision,annualStockholdersEquity,quarterlyDilutedAverageShares,annualOtherNonCashItems,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,annualBasicEPS,annualRepurchaseOfCapitalStock,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,annualCurrentAccruedExpenses,annualTaxProvision,annualDepreciationAndAmortization,annualCashAndCashEquivalents,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyLongTermDebt,annualCurrentAssets,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,trailingChangeInAccountPayable,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyOperatingExpense,quarterlyChangeInInventory,annualOtherNonCurrentAssets,annualOtherIntangibleAssets,annualCurrentLiabilities,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,annualOtherShortTermInvestments,quarterlyInvestingCashFlow,quarterlyEndCashPosition,annualNetPPE,quarterlyCashDividendsPaid,annualSaleOfInvestment,annualCommonStockIssuance,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualNetIncomeCommonStockholders,trailingChangeInInventory,annualIncomeTaxPayable,trailingPurchaseOfBusiness,annualResearchAndDevelopment,annualCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,annualPurchaseOfBusiness,quarterlyResearchAndDevelopment,annualNonCurrentDeferredRevenue,trailingBasicAverageShares,quarterlyPurchaseOfInvestment,trailingSaleOfInvestment,trailingRepurchaseOfCapitalStock,trailingDepreciationAndAmortization,quarterlyInvestmentsAndAdvances,trailingBasicEPS,trailingPurchaseOfInvestment,quarterlyIncomeTaxPayable,trailingDilutedEPS,annualCurrentDebt,trailingDilutedAverageShares,trailingResearchAndDevelopment,trailingCommonStockIssuance,annualInvestmentsAndAdvances
2005-03-31,,115746000.0,418000,,,,,67817000,-3093000.0,,,,,,745611000,,,,-903704000,,113025000,113025000,,,7943000,,,,,,44967000.0,,,,,1.0,,,188000.0,,67353000,623000.0,,690000.0,17312000.0,-4641000.0,30034000,-10234000,,,1780041000,,,,,,,,-96716000.0,191707000,,,96428000.0,,-2721000.0,,0,,,,,,,,41749000.0,,,24452000,876337000,,,,,,,,,,105438000,-288000.0,,,,,280201000,1.04,503396000,,,,,,232587000,134541000,,,,,62729000,,38561000,,,,43365000,,1160353000,,,,,,927766000,,,,,38085000.0,,,43218000.0,,6462000,414742000,,,,179062000,0.0,,,,,43365000,43365000,,,,,37516000.0,241640000.0,,0,14034000,111709000,-4292000.0,,,,96118000.0,66991000,12645000,,-99772000.0,113025000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-30,,113025000.0,846000,,,,,82651000,25366000.0,,,,,,2303606000,,,,-957034000,,57305000,57305000,,,29657000,,,,,,730399000.0,,,758000.0,,0.98,,,3771000.0,,92849000,-57210000.0,,6287000.0,18807000.0,-29511000.0,39510000,-18133000,,,3741041000,,,,,,,,-125074000.0,252458000,,,102778000.0,,-55720000.0,,104022000,,,,,,,,51967000.0,,,30174000,2784007000,,,,,,,,,,146869000,-22296000.0,,,,,1377802000,1.01,555873000,,,,,,342477000,316252000,,,,,77015000,,161640000,,,,52477000,,3997660000,,,,,,3655183000,,,,,54020000.0,,,53655000.0,,140777000,1694054000,,,,235046000,-1370000.0,,,,,52477000,52477000,572489000.0,,,,,643673000.0,,-17430000,24290000,142197000,,,,,208042000.0,171962000,17412000,,-101288000.0,57305000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-30,,57305000.0,849000,,,,,100081000,-54476000.0,,,,,,2426941000,,,,-1032735000,,27473000,27473000,,,25462000,,,,,,716818000.0,,,,,0.76,,,3302000.0,,187593000,-120777000.0,,7625000.0,-3475000.0,1236000.0,61113000,-17125000,,,3858424000,,,,,,,,-178374000.0,404377000,,,218269000.0,,-29832000.0,,176639000,,,,,,,,82284000.0,,,36006000,2825689000,0.0,,,,,,,,,269648000,39895000.0,,,,,1193710000,0.78,619948000,,,,,,351746000,427854000,,,,,9643000,,122257000,,,,64075000,,4048505000,,,,,,3696759000,,,,,80388000.0,,,84840000.0,,154252000,1621564000,,,,300709000,-44000.0,,,,,64075000,64075000,438396000.0,,,,,633057000.0,,-167956000,32520000,113116000,,,,,250193000.0,190102000,103668000,,-127324000.0,27473000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-31,,27473000.0,835000,862602000.0,,117223000.0,-54099000.0,265906000,26430000.0,,61647000.0,,,,2595453000,136395000.0,67000000.0,115746000.0,-1131848000,,61647000,61647000,,4.9,25454000,,,-142780000.0,38456000.0,,717391000.0,3751307000.0,64761000.0,,4095723000.0,,,,-4318000.0,,250210000,-84016000.0,328325000.0,1165000.0,80246000.0,13043000.0,81947000,-15781000,,,4095723000,-27293000.0,-631549000.0,,367971000.0,717790000.0,,-261380000.0,-231385000.0,270080000,,-497453000.0,287259000.0,,34174000.0,,136395000,7921000.0,,,,,,1118622000.0,,835000.0,,97498000,2963875000,0.0,967327000.0,-1516000.0,,,,-1131848000.0,34784000.0,112890000.0,340963000,55874000.0,,-19873000.0,,,1187464000,,788356000,788356000.0,,,-15781000.0,4180335000.0,429028000,397418000,,1584882000.0,-5773000.0,,10826000,,117223000,25454000.0,61647000.0,516455000.0,168408000,,4180335000,151295000.0,,328325000.0,352451000.0,599356000.0,3751307000,73185000.0,,,81947000.0,90753000.0,,2595453000.0,,,70041000,1584882000,,5.07,-2130000.0,373332000,-102000.0,179076000.0,188130000.0,263246000.0,61647000.0,168408000,168408000,352451000.0,429028000.0,66965000.0,,,717790000.0,,31634000,34784000,123122000,,70041000.0,717391000.0,397418000.0,66965000.0,179076000,-103252000,,-169069000.0,61647000.0,2963875000.0,,,15767000.0,704734000.0,1187464000.0,,328325000.0,,,,,,,,,,,,,,,,,,,,,,,,
2006-03-31,,61647000.0,837000,,,,,173694000,-6198000.0,,,,,,2710020000,,,,-1201390000,,50675000,50675000,,,23641000,,,,,,716988000.0,,,,,1.29,,,6490000.0,,157558000,-11024000.0,,2584000.0,46681000.0,898000.0,69093000,81000,,,4355898000,,,,,,,,-218963000.0,335250000,,,228015000.0,,-10972000.0,,115144000,,,,,,,,82633000.0,,,63543000,3154508000,-10281000.0,,,,,,,,,248186000,9052000.0,,,,,1220234000,1.33,891848000,,,,,,391667000,408229000,,,,,10885000,,106968000,,,,110151000,,4338483000,,,,,,3946816000,,,,,90628000.0,,,85242000.0,,75320000,1628463000,,,,282617000,0.0,,,,,110151000,110151000,351506000.0,,,,,761760000.0,,16407000,41100000,125059000,,,,,261003000.0,223992000,52633000,,-227963000.0,50675000.0,,-3327000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-30,,50675000.0,838000,,,,,131958000,-8885000.0,,,,,,2792520000,,,,-1309202000,,5389000,5389000,,,16996000,,,,,,,,,,,0.98,,,1787000.0,,132164000,48993000.0,,62000.0,61636000.0,-2092000.0,52897000,114000,,,4667964000,,,,,,,,-327565000.0,313381000,,,233769000.0,,-45286000.0,,109401000,,,,,,,,82046000.0,,,49092000,3358762000,-735000.0,,,,,,,,,226937000,-93796000.0,,,,,1321634000,1.01,971376000,,,,,,328249000,341128000,,,,691432000.0,12086000,,118027000,,,,82866000,,4455282000,,,,,,4127033000,,,,,94773000.0,,,84861000.0,,76839000,1662762000,,,,257708000,53000000.0,,,,,82866000,82866000,403560000.0,,,,,800047000.0,,2391000,43754000,125544000,,,,,251005000.0,178830000,55673000,,-328048000.0,5389000.0,,-3334000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-09-30,,5389000.0,839000,,,,,148704000,49717000.0,,,,,,2906685000,,,,-1409821000,,8084000,8084000,,,32642000,,,,,,,,,,,1.11,,,1388000.0,,130985000,-6276000.0,,69000.0,66285000.0,-26329000.0,53650000,20409000,,,4919267000,,,,,,,,-261157000.0,322882000,,,215352000.0,,2695000.0,,99594000,,,-4502000.0,,,,,82052000.0,,,54747000,3509446000,0.0,,,,,,,,,235889000,-45805000.0,,,,,1389773000,1.15,1062011000,,,,,,354221000,307397000,,,,691432000.0,13069000,,122436000,,,,93957000,,4603855000,,,,,,4249634000,,,,,104904000.0,,,84311000.0,,48756000,1697170000,,,,267088000,0.0,,,,,93957000,93957000,399613000.0,,,,,867724000.0,,20965000,46233000,136103000,,,,,256206000.0,154153000,55794000,,-206381000.0,8084000.0,,-3345000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-31,,8084000.0,840000,903931000.0,,133687000.0,-56599000.0,89968000,-560000.0,,5048000.0,,,,2976143000,96184000.0,84090000.0,61647000.0,-1494317000,,5048000,5048000,,4.11,64356000,,,35461000.0,50531000.0,,,4412993000.0,82066000.0,,5170951000.0,,,,2246000.0,,73231000,43091000.0,345719000.0,1443000.0,45937000.0,-11800000.0,56241000,31081000,,,5170951000,-11812000.0,-1030791000.0,,534207000.0,921665000.0,,74784000.0,-223106000.0,295631000,,-1009802000.0,201283000.0,,-3036000.0,,96184000,5692000.0,,43214000.0,,,,1267144000.0,,840000.0,,31223000,3676634000,0.0,1041744000.0,0.0,,,691432000.0,-1494317000.0,39397000.0,220539000.0,179320000,-21823000.0,,-39323000.0,,,1499019000,,1117402000,1117402000.0,,,31081000.0,4829750000.0,416757000,354588000,,1853607000.0,34074000.0,691432000.0,12523000,-13358000.0,133687000,64356000.0,5048000.0,544324000.0,58745000,,4829750000,225400000.0,,345719000.0,443667000.0,507537000.0,4412993000,-152372000.0,,,56241000.0,106089000.0,,2976143000.0,,15261000.0,44927000,1853607000,,4.21,-11016000.0,234331000,0.0,202163000.0,198605000.0,396394000.0,5048000.0,58745000,58745000,443667000.0,416757000.0,306458000.0,,,921665000.0,,-3877000,39397000,161100000,,44927000.0,,354588000.0,306458000.0,202163000,61300000,,-247410000.0,5048000.0,3676634000.0,-3352000.0,,4158000.0,878419000.0,1499019000.0,,345719000.0,,,,,,,,,,,,,,,,,,,,,,,,
2007-03-31,,5048000.0,844000,,,,,101795000,-2303000.0,,,,,,3019473000,,,,-1598955000,,7351000,7351000,,,28785000,,,,,,,,,,,0.77,,,4074000.0,,104064000,70159000.0,,7524000.0,37167000.0,-28929000.0,49436000,8336000,,,5415210000,,,,,,,,-252371000.0,306875000,,,186469000.0,,2303000.0,,95670000,,,5261000.0,,,,,82222000.0,,,37167000,3816255000,,,,,,,,,,212948000,-65902000.0,,,,,1590753000,0.79,1178635000,,,,,,382761000,321449000,,,,691432000.0,15321000,,136622000,,,,64628000,,4931675000,,,,,,4548914000,,,,,108884000.0,,,84393000.0,,41227000,1912202000,,,,248625000,0.0,,,,,64628000,64628000,508720000.0,,,,,945411000.0,,-1462000,42001000,144561000,,,,,300147000.0,176343000,58250000,,-254325000.0,7351000.0,,-3365000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-30,,7351000.0,844000,,,,,124646000,-16379000.0,,,,,,3096339000,,,,-1707429000,,19411000,19411000,,,35469000,,,,,,,,,,,0.93,,,5399000.0,,120795000,-29970000.0,,493000.0,45939000.0,21780000.0,52887000,13915000,,,5642049000,,,,,,,,-220858000.0,342084000,,,258086000.0,,12060000.0,,102572000,,,4997000.0,,,,,82282000.0,,,45939000,3934620000,,,,,,,,,,233592000,37228000.0,,,,,1619036000,0.96,1253973000,,,,,,397914000,355079000,,,,691432000.0,14556000,,133663000,,,,78707000,,5070454000,,,,,,4672540000,,,,,112797000.0,,,84836000.0,,46488000,1974115000,,,,277049000,-6098000.0,,,,,78707000,78707000,487540000.0,,,,,997833000.0,,3685000,40358000,156254000,,,,,294717000.0,199620000,65035000,,-216056000.0,19411000.0,,-3382000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-30,,19411000.0,836000,,,,,115546000,10706000.0,,,,,,3135684000,,,,-1820727000,,23000,23000,,,49135000,,,,,,,,,,,0.87,,,4284000.0,,116447000,-112000.0,,880000.0,42390000.0,13361000.0,42027000,13849000,,,5902832000,,,,,,,,-280262000.0,343753000,,,248614000.0,,-19388000.0,,103029000,,,4924000.0,,,,,81568000.0,,,42390000,4082105000,-36643000.0,,,,,,,,,234081000,-31648000.0,,,,,1705928000,0.9,1323815000,,,,,,393436000,372349000,,,,691432000.0,13722000,,134228000,,,,73156000,,5213961000,,,,,,4820525000,,,,,117634000.0,,,84025000.0,,46988000,2078277000,,,,274067000,-1000.0,,,,,73156000,73156000,526349000.0,,,,,1045351000.0,,-2799000,36750000,157620000,,,,,292218000.0,227293000,69686000,,-267890000.0,23000.0,,-3348000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-12-31,,23000.0,836000,998445000.0,,115554000.0,118002000.0,202638000,-8583000.0,,137441000.0,,,,3259287000,131513000.0,84632000.0,5048000.0,-1988492000,,137441000,123050000,,4.09,76470000,,,15412000.0,66669000.0,,,4798217000.0,81819000.0,,6050808000.0,,,,4529000.0,,191752000,-41359000.0,346469000.0,989000.0,42011000.0,2798000.0,52671000,7626000,,,6050808000,-32180000.0,-1021456000.0,,636126000.0,1076223000.0,,-1282000.0,-267965000.0,438454000,,-875396000.0,301511000.0,,123027000.0,,131513000,18286000.0,,4527000.0,,,-16000000.0,1431166000.0,,836000.0,,72660000,4062316000,0.0,1172780000.0,-6113000.0,,,691432000.0,-1988492000.0,29642000.0,167507000.0,314228000,33546000.0,,9010000.0,14391000.0,,1678936000,,1448763000,1448763000.0,,,7626000.0,5362794000.0,564577000,424571000,,2103507000.0,-16559000.0,691432000.0,23070000,-13429000.0,115554000,76470000.0,123050000.0,544625000.0,129978000,,5362794000,258386000.0,,346469000.0,487159000.0,536654000.0,4798217000,-26776000.0,,,52671000.0,122476000.0,,3259287000.0,,19709000.0,44469000,2103507000,,4.23,-42266000.0,373039000,-14000.0,240387000.0,198156000.0,461791000.0,123050000.0,129978000,129978000,487159000.0,564577000.0,315327000.0,,,1076223000.0,,19584000,29642000,181287000,,44469000.0,,424571000.0,315327000.0,240387000,65415000,14391000.0,-137125000.0,123050000.0,4062316000.0,-3334000.0,1424000.0,9886000.0,994680000.0,1678936000.0,,346469000.0,,,,,,,,,,,,,,,,,,,,,,,,
2008-03-31,,123050000.0,839000,,,,,233416000,-8994000.0,,,,,,3398042000,,,,-2060047000,,156651000,147287000,,,10489000,,,,,,,,,,,1.76,,5000000.0,3814000.0,,235616000,-2837000.0,,2116000.0,55663000.0,-19455000.0,72294000,-4328000,,,6307898000,,,,,,,,-284281000.0,477076000,,,315245000.0,,24237000.0,,152247000,,,3869000.0,,,,,81286000.0,,,83581000,4247851000,,,,,,,,,,361172000,30964000.0,,,9364000.0,,1741201000,1.84,1593627000,,,,,,564704000,459205000,,,,691432000.0,13859000,,132310000,,,,149835000,,5598448000,,,,,,5033744000,,,,,125556000.0,,,85200000.0,,94461000,2200406000,,,,406674000,0.0,,,,,149835000,149835000,486968000.0,,,,,1121923000.0,,-1207000,40785000,171058000,,,,,355976000.0,234664000,70402000,,-288171000.0,147287000.0,,-4953000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-06-30,,147287000.0,840000,,,,,355772000,8994000.0,,,,,,3621265000,,,,-2060047000,,176194000,168801000,,,5679000,,,,,,,,,,,2.68,,2061000.0,3095000.0,,355032000,5774000.0,,10845000.0,68799000.0,-53326000.0,107697000,-10498000,,,6556788000,,,,,,,,-377872000.0,616383000,,,382307000.0,,21514000.0,,201374000,,,4228000.0,,,,,81474000.0,,,126464000,4496741000,,,,,,,,,,488233000,4435000.0,,,7393000.0,,1802106000,2.81,1817902000,,,,,,695253000,545901000,,,,691432000.0,16327000,,136959000,,,,229308000,,5969272000,,,,,,5274019000,,,,,133201000.0,,,85589000.0,,85846000,2348007000,,,,544309000,-50000.0,,,,,229308000,229308000,486778000.0,,,,,1178369000.0,,1783000,74874000,189277000,,,,,418464000.0,236830000,72074000,,-366567000.0,168801000.0,,-5021000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-09-30,,168801000.0,842000,,,,,-367855000,-43253000.0,,,,,,3403424000,,,,-1988492000,,206516000,201383000,,,14211000,,,,,,,,,,,-2.85,,2227000.0,7795000.0,,285116000,-5063000.0,,-30000.0,-162794000.0,28982000.0,62793000,4167000,,,6120900000,,,,,,,,-364566000.0,576549000,,,443157000.0,,32582000.0,,160063000,,,661915000.0,,,,,81572000.0,,,-135726000,4132408000,,,,,,,,,,432548000,78591000.0,,,5133000.0,,1648494000,-2.85,1580728000,,,,,,674331000,527122000,,,,691432000.0,15168000,,133958000,,,,-232129000,,5579040000,,,,,,4904709000,,,,,147432000.0,,,81572000.0,,80869000,2175616000,,,,498684000,0.0,,,,,-232129000,-232129000,486587000.0,,,,,1027949000.0,,-1322033000,112972000,213568000,,,,,336089000.0,304266000,77865000,,-405512000.0,201383000.0,,-5033000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,-105708000.0,201383000.0,841000,-850830000.0,,255122000.0,-121837000.0,-1651631000,82388000.0,,3715000.0,,,,2349365000,0.0,81478000.0,123050000.0,-4776617000,,3715000,1213000,,-11.07,63148000,,,-2231091000.0,54590000.0,,,3649989000.0,81478000.0,,7637718000.0,,,1391000.0,-14007000.0,,-65015000,109519000.0,-901685000.0,210000.0,-556470000.0,-31932000.0,101157000,-955000,,,7704738000,-155222000.0,-1646532000.0,,858917000.0,499634000.0,,107393000.0,-619813000.0,300339000,,-1596718000.0,226779000.0,,-200170000.0,,0,32064000.0,,-530682000.0,,,0.0,1970347000.0,,841000.0,,-602932000,2928121000,,1669666000.0,-158000.0,,10090000.0,691432000.0,-4709597000.0,186062000.0,-594802000.0,-2154319000,-393034000.0,,-75731000.0,2502000.0,,1345979000,,526998000,526998000.0,,,-955000.0,4164933000.0,514944000,469589000,,1815568000.0,39135000.0,691432000.0,9321000,-20040000.0,255122000,249210000.0,1213000.0,-1430298000.0,-1048699000,,4164933000,300681000.0,,-901685000.0,591223000.0,810749000.0,3649989000,-279044000.0,,,101157000.0,,,2349365000.0,,139330000.0,30436000,1815568000,,-11.07,0.0,219999000,-108000.0,263994000.0,-528613000.0,,1213000.0,-1048699000,-1048699000,591223000.0,514944000.0,259082000.0,,,499634000.0,,-909549000,186062000,285014000,,30436000.0,,469589000.0,259082000.0,263994000,80340000,2502000.0,-536468000.0,1213000.0,2928121000.0,-5033000.0,10679000.0,13141000.0,1367488000.0,1345979000.0,,-901685000.0,,,,,,,,,,,,,,,,,,,,,,,,
2009-03-31,,1213000.0,842000,,,,,-779061000,3824000.0,,,,,,1854033000,,,,-5591584000,,4568000,2958000,,,60604000,,,,,,,,,,,-6.05,,923000.0,8267000.0,,19730000,119958000.0,,0.0,-269752000.0,-50665000.0,35579000,-720000,,,7779649000,,,,,,,,-205516000.0,209179000,,,82556000.0,,1745000.0,,0,,,14013000.0,,,,,83948000.0,,,-284961000,2188065000,,,,2257000.0,,,,,,-681128000,-122960000.0,,,1610000.0,,1208359000,-6.05,11128000,,,,,,451834000,298168000,,,,691432000.0,10019000,,260540000,,,,-494100000,,3360560000,,,,,,2908726000,,,,,,,,83948000.0,,29229000,1506527000,,,,144950000,-2000.0,,,,,-494100000,-494100000,712672000.0,,,,,235147000.0,,-796037000,208027000,125220000,,,,,,178230000,64229000,,-200769000.0,2958000.0,,-5040000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,,2958000.0,834000,,,,,60814000,14739000.0,,,,,,1892501000,,,,-5642874000,-6000000.0,4334000,2960000,,,59399000,,,,,,,,,,,0.46,,307000.0,4315000.0,,72181000,-28881000.0,,114000.0,35632000.0,-41318000.0,23973000,-440000,,,7860785000,,,,,,,,-97953000.0,222685000,,,111790000.0,,2000.0,,528000,,,5180000.0,,,,,81701000.0,,,22007000,2217911000,,,,2097000.0,,,,,,124110000,13837000.0,,,1374000.0,,1237585000,0.46,44898000,,,,,,447036000,272718000,,,,691432000.0,11616000,,257070000,,,,38807000,,3402804000,,,,,,2955768000,,,,,,,,82047000.0,,46425000,1510303000,,,,164479000,-17959000.0,,,,,38807000,38807000,706712000.0,,,,,273803000.0,,-7052000,191911000,92298000,,,,,,162287000,58206000,,-82907000.0,2960000.0,,-5036000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-09-30,,2960000.0,835000,,,,,65538000,-18563000.0,,,,,,1933183000,,,,-5696671000,,2962000,2962000,,,29453000,,,,,,,,,,,0.46,,2098000.0,10623000.0,,78627000,-185619000.0,,2462000.0,13528000.0,89620000.0,19646000,-74000,,,7984472000,,,,,,,,-107770000.0,249134000,,,271300000.0,,2000.0,,12645000,,,64820000.0,,,,,84162000.0,,,26833000,2287801000,,,,2477000.0,,,,,,135401000,163530000.0,,,0.0,,1138117000,0.46,78546000,,,,,,381509000,324862000,,,,691432000.0,14999000,,286711000,,,,38705000,,3396162000,,,,,,3014653000,,,,,,,,84547000.0,,35420000,1462979000,,,,192862000,17961000.0,,,,,38705000,38705000,523753000.0,,,,,327653000.0,,-7761000,166021000,114235000,,,,,,202544000,56272000,,-85679000.0,2962000.0,,-5047000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,-213001000.0,2962000.0,835000,-199449000.0,,275978000.0,1331000.0,164228000,0.0,,3782000.0,,,,2038106000,13902000.0,81815000.0,1213000.0,-5764669000,-131006000.0,3782000,2544000,,-3.82,13997000,,,-812776000.0,50978000.0,,,3037279000.0,81815000.0,,8076822000.0,,,0.0,9633000.0,,174994000,-135210000.0,-311943000.0,845000.0,55832000.0,23484000.0,30214000,-19000,,,8076822000,,-567157000.0,,441946000.0,348897000.0,,-229752000.0,-155918000.0,328796000,,-444094000.0,209531000.0,,-418000.0,,13902000,11020000.0,,-37985000.0,,,0.0,1009794000.0,,835000.0,,59583000,2312153000,,777261000.0,0.0,2423000.0,9254000.0,691432000.0,-5764669000.0,145153000.0,-164760000.0,233769000,53613000.0,,16696000.0,1238000.0,,1017668000,,178035000,178035000.0,,,-19000.0,3444537000.0,407258000,388763000,,1406431000.0,0.0,691432000.0,14344000,-20172000.0,275978000,13997000.0,2544000.0,-488481000.0,104645000,,3444537000,232533000.0,,-311943000.0,392793000.0,335315000.0,3037279000,108020000.0,,,30214000.0,,,2038106000.0,,23401000.0,33694000,1406431000,,-3.82,,274970000,0.0,235815000.0,-176538000.0,,2544000.0,104645000,104645000,392793000.0,407258000.0,227896000.0,,,348897000.0,,-8311000,145153000,99976000,,33694000.0,,388763000.0,227896000.0,235815000,53826000,1238000.0,-74739000.0,2544000.0,2312153000.0,-5049000.0,3328000.0,3421000.0,675177000.0,1017668000.0,,-311943000.0,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-31,,2544000.0,839000,,,,,322715000,0.0,,,,,,2238062000,,,,-5828786000,-25000000.0,110039000,62542000,,,12890000,,,,,,,,,,,2.39,,0.0,282000.0,,322823000,-27660000.0,,2409000.0,84990000.0,-14100000.0,44471000,80000,,,8295107000,,,,,,,,-211504000.0,448570000,,,299107000.0,,59998000.0,,7171000,,,-48955000.0,,,,,82023000.0,,,118354000,2466321000,,,,2778000.0,,,,,,395351000,87603000.0,,,47497000.0,,1052884000,2.42,375726000,,,,,,519095000,417174000,,,,691432000.0,15823000,,277886000,,,,204361000,,3708120000,,,,,,3189025000,,,,,,,,82870000.0,,31272000,1470058000,,,,388915000,0.0,,,,,204361000,204361000,367832000.0,,,,,407166000.0,,174000,128207000,66092000,,,,,,232622000,59655000,,-211449000.0,62542000.0,,-5069000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
